Hotel_name,Adresse,Description,Distance,Details_Link
 Hotel Le Pacha ,  Tunis   , L'Hôtel Le Pacha se situe dans le centre de Tunis et est facilement accessible depuis l'aéroport et la gare. Une connexion Wi-Fi est disponible gratuitement dans tout l'établissement.  ," 2,1 km du centre ",https://www.booking.com/hotel/tn/le-pacha.fr.html
 Le Corail Suites Hotel ,"  Les Berges du Lac, Tunis   ", Le Corail Suites Hotel se trouve à 5 minutes à pied du centre commercial Tunisia Mall et à 450 mètres du lac de Tunis. Il propose des chambres et des suites dotées d'une connexion Wi-Fi gratuite.  , 9 km du centre ,https://www.booking.com/hotel/tn/corail-suites.fr.html
 le loft Eline ,  Tunis   ," Set just 2.2 km from Amilcar Beach, le loft Eline offers accommodation in Tunis with access to a restaurant, a bar, as well as a 24-hour front desk.  ", 13 km du centre ,https://www.booking.com/hotel/tn/green-studio-eline.fr.html
 Mövenpick Hotel du Lac Tunis ,"  Les Berges du Lac, Tunis   "," Situé à Tunis, à 9 km de l'avenue Habib Bourguiba, le Mövenpick Hotel du Lac Tunis vous propose un restaurant, un parking privé gratuit, une salle de sport et une terrasse.  ",  Plage à proximité ,https://www.booking.com/hotel/tn/movenpick-du-lac-tunis.fr.html
 Hotel du Parc ,  Tunis   ," L'Hotel du Parc est situé à Tunis, à 2 km du centre-ville et à 10 minutes de l'aéroport international de Tunis-Carthage.  ", 6 km du centre ,https://www.booking.com/hotel/tn/du-parc-tunis.fr.html
 sahebettabeaa ,  Tunis   ," Situé à Tunis, à moins de 4  m de la mosquée Sidi Mahrez et à 4,1 km du musée Dar Lasram, le sahebettabeaa propose un hébergement avec une terrasse et un parking privé gratuit.  ", 5 km du centre ,https://www.booking.com/hotel/tn/sahebettabeaa.fr.html
 Hôtel La Maison Blanche ,  Tunis   ," L'Hôtel La Maison Blanche propose des suites spacieuses et élégantes dotées d’un coin salon et repas dans le quartier des affaires de Tunis, à 10 minutes de route de la médina.  ", 2 km du centre ,https://www.booking.com/hotel/tn/la-maison-blanche.fr.html
 Majestic Hotel ,  Tunis   ," Situé en plein cœur de Tunis, cet hôtel de style Art Nouveau offre une vue sur le jardin Habib Thameur. Il propose un spa ainsi qu'une connexion Wi-Fi gratuite.  ", 700 m du centre ,https://www.booking.com/hotel/tn/majestic.fr.html
 Dar La Leila ,  Tunis   ," Situé à Tunis, à 3,5 km de la mosquée Sidi Mahrez et à moins de 3,8 km du musée Dar Lasram, le Dar La Leila propose un salon commun, un jardin et une connexion Wi-Fi gratuite.  ", 4 km du centre ,https://www.booking.com/hotel/tn/dar-la-leila.fr.html
 Marigold Hotel ,  Tunis   ," Offrant une vue sur la ville, le Marigold Hotel est situé à Tunis, à 2,3 km de l'avenue Habib-Bourguiba.  ", 2 km du centre ,https://www.booking.com/hotel/tn/marigold.fr.html
 The Penthouse Suites Hotel ,  Tunis   ," Situé à Tunis, le Penthouse Suites Hotel propose une piscine extérieure, une patinoire et un restaurant. Cet hébergement indépendant est doté d'une connexion Wi-Fi gratuite.  ", 7 km du centre ,https://www.booking.com/hotel/tn/the-penthouse.fr.html
 Apartment Jardin Carthage ,  Tunis   ," Situé à Tunis, dans le gouvernorat de Tunis, l'Apartment Jardin Carthage propose un hébergement avec connexion Wi-Fi et parking privé gratuits.  ", 11 km du centre ,https://www.booking.com/hotel/tn/apartment-jardin-carthage.fr.html
 Tunisia Palace ,"  Bab Bhar, Tunis   "," Situé sur l'artère principale de Tunis, dans un immeuble historique rénové aux standards modernes, l'hôtel Tunisia Palace vous accueille dans une ambiance raffinée.  ", 850 m du centre ,https://www.booking.com/hotel/tn/tunisia-palace.fr.html
 Palais Bayram ,"  Médina, Tunis   "," Situé dans la médina de Tunis, le Palais Bayram propose un spa et centre de bien-être, ainsi qu'une connexion Wi-Fi gratuite.  "," 1,4 km du centre ",https://www.booking.com/hotel/tn/the-knowledge-palais-bayram.fr.html
 DAR NOUR ,  Tunis   ," Situé à Tunis, à 12 km de l'avenue Habib Bourguiba et du parc du Belvédère, le DAR NOUR propose un hébergement avec une connexion Wi-Fi gratuite, la climatisation et un salon commun.  ", 10 km du centre ,https://www.booking.com/hotel/tn/dar-nour-ain-zaghouan.fr.html
 Novotel Tunis ,  Tunis   ," Situé au cœur du quartier des affaires de Tunis, cet hôtel 4 étoiles se trouve à 1,8 km du centre-ville.  "," 1,3 km du centre ",https://www.booking.com/hotel/tn/novotel-mohamed-v.fr.html
 Dar El Jeld Hotel and Spa ,"  Médina, Tunis   "," Situé à Tunis, à 1,3 km du musée Dar Lasram et à 1,9 km de la mosquée Sidi Mahrez, le Dar El Jeld Hotel and Spa bénéficie d’un jardin, d’un bar et d’un restaurant.  "," 1,6 km du centre ",https://www.booking.com/hotel/tn/dar-el-jeld-and-spa.fr.html
 Appartement Florence ,  Tunis   ," Offrant une vue sur la ville, l'Appartement Florence est situé à Tunis, à 8 km de l'avenue Habib Bourguiba et à 9 km de la cathédrale Saint-Vincent-de-Paul.  ", 7 km du centre ,https://www.booking.com/hotel/tn/appartement-florence.fr.html
 La perle el menzah ,  Tunis   ," Situé à Tunis, à seulement 5 km du parc du Belvédère, l'établissement La perle el menzah propose un hébergement avec accès à un salon commun, un jardin et une réception ouverte 24h/24.  ", 6 km du centre ,https://www.booking.com/hotel/tn/la-perle-el-menzah.fr.html
 Residence Farah ,  Tunis   ," Installée à Tunis, dans le gouvernorat de Tunis, la Résidence Farah propose des hébergements avec une connexion Wi-Fi et un parking privé gratuits.  ", 9 km du centre ,https://www.booking.com/hotel/tn/residence-farah-tunis.fr.html
 Dar kenza tunis ,"  Médina, Tunis   "," Le Dar kenza tunis bénéficie d’un emplacement agréable dans le quartier de la médina de Tunis, à quelques pas du Tourbet El Bey, à 400 mètres du palais Dar Hussein et à 500 mètres de la mosquée de la... "," 1,4 km du centre ",https://www.booking.com/hotel/tn/dar-kenza.fr.html
 Hélène & Yessine Place ,"  Les Berges du Lac, Tunis   "," Located in Tunis in the Tunis Governorate region, Hélène & Yessine Place features a balcony.  ", 8 km du centre ,https://www.booking.com/hotel/tn/helene-amp-yessine-place.fr.html
 Excellent Appartment in Lac 2 Near Tunisia Mall ,"  Les Berges du Lac, Tunis   "," Situé à Tunis, à 12 km de l'avenue Habib Bourguiba et du parc du Belvédère, l'Excellent Appartment in Lac 2 Near Tunisia Mall dispose d'un jardin, d’une réception ouverte 24h/24 et de la... ", 9 km du centre ,https://www.booking.com/hotel/tn/excellent-appartment-in-lac-2-near-tunisia-mall.fr.html
 Hôtel Belvédère Fourati ,  Tunis   ," L'Hôtel Belvédère Fourati se situe dans Tunis, à 100 mètres du parc du Belvédère, et propose un restaurant. Vous bénéficierez gratuitement d'un parking privé et d'une connexion Wi-Fi.  "," 1,9 km du centre ",https://www.booking.com/hotel/tn/belvedere-fourati.fr.html
" Suite better than a Hotel, Jacuzzi & View on Tunisia Mall ","  Les Berges du Lac, Tunis   "," Situé à Tunis, à 12 km de l'avenue Habib Bourguiba, l'hébergement Suite better than a Hotel, Jacuzzi & View on Tunisia Mall dispose d'un jardin et d'une connexion Wi-Fi gratuite.  ", 9 km du centre ,https://www.booking.com/hotel/tn/suite-better-than-a-jacuzzi-amp-view-on-tunisia-mall.fr.html
 A22 ,"  Les Berges du Lac, Tunis   "," Located in Tunis in the Tunis Governorate region, A22 provides accommodation with free WiFi and free private parking. The apartment offers a terrace.  ", 6 km du centre ,https://www.booking.com/hotel/tn/a22.fr.html
 Charming Studio in Tunis city ,  Tunis   ," Doté d'un jardin, le Charming Studio in Tunis city est situé à Tunis, à 5 km du parc du Belvédère et de la mosquée Sidi Mahrez, ainsi qu'à 6 km du musée Dar Lasram.  ", 5 km du centre ,https://www.booking.com/hotel/tn/charming-studio-in-tunis-city.fr.html
 Séjourner dans la tranquillité et en toute sécurité ,  Tunis   ," Séjourner dans la tranquillité et en toute sécurité, a property with a terrace, is situated in Tunis, 11 km from Habib Bourguiba Avenue, 11 km from Belvedre Parc, as well as 12 km from Cathedral of... ", 9 km du centre ,https://www.booking.com/hotel/tn/sejourner-dans-la-tranquillite-et-en-toute-securite-tunis.fr.html
 Apartment Ennaser ,  Tunis   ," Doté d’un balcon avec vue sur la ville, l'Apartment Ennaser est situé à environ 6 km du parc du Belvédère. Un restaurant vous accueille sur place.  ", 6 km du centre ,https://www.booking.com/hotel/tn/apartment-ennaser.fr.html
 Dar Traki Medina de Tunis ,"  Médina, Tunis   "," Située au cœur de la médina de Tunis, la maison d'hôtes Dar Traki Medina de Tunis propose des hébergements, une terrasse panoramique et un patio central.  "," 1,4 km du centre ",https://www.booking.com/hotel/tn/dar-traki.fr.html
 Concorde Hotel Paris ,"  Les Berges du Lac, Tunis   "," Situé à 10 minutes en voiture du centre de Tunis, l'Hotel Paris possède une réception ouverte 24h/24, un bar, un restaurant, un ascenseur ainsi qu'un centre de remise en forme.  ", 5 km du centre ,https://www.booking.com/hotel/tn/paris.fr.html
 Business Hotel ,  Tunis   ," Situé à Tunis, à 14 minutes à pied du parc du Belvédère, le Business Hotel 4 étoiles propose une connexion Wi-Fi gratuite dans l'ensemble des locaux, un bar et un restaurant préparant une cuisine... ", 2 km du centre ,https://www.booking.com/hotel/tn/business.fr.html
 Appart au centre ville ,  Tunis   ," Situé à Tunis, à proximité de la cathédrale Saint-Vincent-de-Paul, de la porte de France-Bab El Bhar et de la place de la Victoire, l'Appart au centre ville vous propose une connexion Wi-Fi gratuite.  ", 750 m du centre ,https://www.booking.com/hotel/tn/appart-au-centre-ville.fr.html
 Flat Ain Zaghouen ,  Tunis   ," Offrant une vue sur la ville, le Flat Ain Zaghouen est situé à Tunis, à 12 km de l'avenue Habib Bourguiba. Vous bénéficierez gratuitement d'une connexion Wi-Fi et d'un parking privé.  ", 11 km du centre ,https://www.booking.com/hotel/tn/flat-ain-zaghouen.fr.html
